问题,选项A,选项B,选项C,分类,提示
说到小组报告分工，我还想加一个选项：______。,,,,职场校园,写下一个具体、第一时间想到的答案
如果今天就要体验遇到临时任务，你会先选？,马上开始做,先重新排优先级,,职场校园,
给遇到临时任务安排一个优先项，你会选？,马上开始做,先重新排优先级,找人一起合作,职场校园,
如果为遇到临时任务投票，哪一个最可能获胜？,找人一起合作,马上开始做,先重新排优先级,职场校园,
如果由我设计遇到临时任务，最不能少的是 ______。,,,,职场校园,写下一个具体、第一时间想到的答案
在选择办公位置这件事上，你更看重？,靠窗,靠咖啡机,,职场校园,
如果大家一起体验选择办公位置，你最想负责哪一项？,靠窗,靠咖啡机,靠熟悉同事,职场校园,
在选择办公位置的三个选项中，哪个最受欢迎？,靠熟悉同事,靠窗,靠咖啡机,职场校园,
体验选择办公位置之前，我最想准备 ______。,,,,职场校园,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试上课突然被点名，你会选？,凭印象回答,诚实说不知道,,职场校园,
把上课突然被点名变成周末活动，你最期待？,凭印象回答,诚实说不知道,先反问确认题目,职场校园,
朋友临时提出上课突然被点名，多数人会答应哪一个？,先反问确认题目,凭印象回答,诚实说不知道,职场校园,
关于上课突然被点名，我第一个想到的是 ______。,,,,职场校园,写下一个具体、第一时间想到的答案
关于团队庆功，哪一个更吸引你？,一起吃大餐,提早下班,,职场校园,
讨论团队庆功时，哪一个最容易成为多数答案？,一起吃大餐,提早下班,安排团体活动,职场校园,
只能把团队庆功的一项带走，你会带走？,安排团体活动,一起吃大餐,提早下班,职场校园,
如果把团队庆功拍成电影，片名会是《______》。,,,,职场校园,写下一个具体、第一时间想到的答案
聊到学习新技能，你更偏向？,报名正式课程,跟着视频自学,,职场校园,
关于学习新技能，如果只能选一个，你会选？,报名正式课程,跟着视频自学,直接做项目练习,职场校园,
第一次接触学习新技能，大家最可能先选？,直接做项目练习,报名正式课程,跟着视频自学,职场校园,
说到学习新技能，我还想加一个选项：______。,,,,职场校园,写下一个具体、第一时间想到的答案
如果今天就要体验面对公开演讲，你会先选？,提前背熟,只准备提纲,,职场校园,
给面对公开演讲安排一个优先项，你会选？,提前背熟,只准备提纲,现场自由发挥,职场校园,
如果为面对公开演讲投票，哪一个最可能获胜？,现场自由发挥,提前背熟,只准备提纲,职场校园,
如果由我设计面对公开演讲，最不能少的是 ______。,,,,职场校园,写下一个具体、第一时间想到的答案
在收到工作建议这件事上，你更看重？,马上尝试,先判断是否适合,,职场校园,
如果大家一起体验收到工作建议，你最想负责哪一项？,马上尝试,先判断是否适合,找朋友讨论,职场校园,
在收到工作建议的三个选项中，哪个最受欢迎？,找朋友讨论,马上尝试,先判断是否适合,职场校园,
体验收到工作建议之前，我最想准备 ______。,,,,职场校园,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试午休时间，你会选？,睡一会儿,出门散步,,职场校园,
把午休时间变成周末活动，你最期待？,睡一会儿,出门散步,和同事聊天,职场校园,
朋友临时提出午休时间，多数人会答应哪一个？,和同事聊天,睡一会儿,出门散步,职场校园,
关于午休时间，我第一个想到的是 ______。,,,,职场校园,写下一个具体、第一时间想到的答案
关于理想课堂，哪一个更吸引你？,更多讨论,更多实践,,职场校园,
讨论理想课堂时，哪一个最容易成为多数答案？,更多讨论,更多实践,更多自由时间,职场校园,
只能把理想课堂的一项带走，你会带走？,更多自由时间,更多讨论,更多实践,职场校园,
如果把理想课堂拍成电影，片名会是《______》。,,,,职场校园,写下一个具体、第一时间想到的答案
聊到家里突然多一扇门，你更偏向？,通往海边,通往朋友家,,奇妙生活,
关于家里突然多一扇门，如果只能选一个，你会选？,通往海边,通往朋友家,通往十年后的家,奇妙生活,
第一次接触家里突然多一扇门，大家最可能先选？,通往十年后的家,通往海边,通往朋友家,奇妙生活,
说到家里突然多一扇门，我还想加一个选项：______。,,,,奇妙生活,写下一个具体、第一时间想到的答案
如果今天就要体验每天多出一小时，你会先选？,用来睡觉,学习新东西,,奇妙生活,
给每天多出一小时安排一个优先项，你会选？,用来睡觉,学习新东西,纯粹发呆,奇妙生活,
如果为每天多出一小时投票，哪一个最可能获胜？,纯粹发呆,用来睡觉,学习新东西,奇妙生活,
如果由我设计每天多出一小时，最不能少的是 ______。,,,,奇妙生活,写下一个具体、第一时间想到的答案
在城市停电一晚这件事上，你更看重？,点蜡烛聊天,去户外看星星,,奇妙生活,
如果大家一起体验城市停电一晚，你最想负责哪一项？,点蜡烛聊天,去户外看星星,提前睡觉,奇妙生活,
在城市停电一晚的三个选项中，哪个最受欢迎？,提前睡觉,点蜡烛聊天,去户外看星星,奇妙生活,
体验城市停电一晚之前，我最想准备 ______。,,,,奇妙生活,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试手机能预测一件事，你会选？,明天天气,谁会联系你,,奇妙生活,
把手机能预测一件事变成周末活动，你最期待？,明天天气,谁会联系你,今天会遇到什么好运,奇妙生活,
朋友临时提出手机能预测一件事，多数人会答应哪一个？,今天会遇到什么好运,明天天气,谁会联系你,奇妙生活,
关于手机能预测一件事，我第一个想到的是 ______。,,,,奇妙生活,写下一个具体、第一时间想到的答案
关于家具有了性格，哪一个更吸引你？,爱聊天的冰箱,催你睡觉的床,,奇妙生活,
讨论家具有了性格时，哪一个最容易成为多数答案？,爱聊天的冰箱,催你睡觉的床,会抱怨的沙发,奇妙生活,
只能把家具有了性格的一项带走，你会带走？,会抱怨的沙发,爱聊天的冰箱,催你睡觉的床,奇妙生活,
如果把家具有了性格拍成电影，片名会是《______》。,,,,奇妙生活,写下一个具体、第一时间想到的答案
聊到一整天不能说话，你更偏向？,用纸笔交流,只发表情包,,奇妙生活,
关于一整天不能说话，如果只能选一个，你会选？,用纸笔交流,只发表情包,尽量避开所有人,奇妙生活,
第一次接触一整天不能说话，大家最可能先选？,尽量避开所有人,用纸笔交流,只发表情包,奇妙生活,
说到一整天不能说话，我还想加一个选项：______。,,,,奇妙生活,写下一个具体、第一时间想到的答案
如果今天就要体验梦可以录下来，你会先选？,自己反复看,分享给朋友,,奇妙生活,
给梦可以录下来安排一个优先项，你会选？,自己反复看,分享给朋友,立刻删除,奇妙生活,
如果为梦可以录下来投票，哪一个最可能获胜？,立刻删除,自己反复看,分享给朋友,奇妙生活,
如果由我设计梦可以录下来，最不能少的是 ______。,,,,奇妙生活,写下一个具体、第一时间想到的答案
在影子有自己的生活这件事上，你更看重？,让它替你排队,跟它交换一天,,奇妙生活,
如果大家一起体验影子有自己的生活，你最想负责哪一项？,让它替你排队,跟它交换一天,假装没有发现,奇妙生活,
在影子有自己的生活的三个选项中，哪个最受欢迎？,假装没有发现,让它替你排队,跟它交换一天,奇妙生活,
体验影子有自己的生活之前，我最想准备 ______。,,,,奇妙生活,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试周末只能做一件事，你会选？,彻底休息,完成一直拖延的事,,奇妙生活,
把周末只能做一件事变成周末活动，你最期待？,彻底休息,完成一直拖延的事,临时去旅行,奇妙生活,
朋友临时提出周末只能做一件事，多数人会答应哪一个？,临时去旅行,彻底休息,完成一直拖延的事,奇妙生活,
关于周末只能做一件事，我第一个想到的是 ______。,,,,奇妙生活,写下一个具体、第一时间想到的答案
关于收到未来的包裹，哪一个更吸引你？,马上打开,先查寄件人,,奇妙生活,
讨论收到未来的包裹时，哪一个最容易成为多数答案？,马上打开,先查寄件人,等朋友一起来拆,奇妙生活,
只能把收到未来的包裹的一项带走，你会带走？,等朋友一起来拆,马上打开,先查寄件人,奇妙生活,
如果把收到未来的包裹拍成电影，片名会是《______》。,,,,奇妙生活,写下一个具体、第一时间想到的答案
